dates,Code,Volume,Zero,NssZero,DiffZero,Yield,NssYield,DiffYield,dayRet,stdev,skew,pct_chg,month_cum
2022-11-04,210013.IB,1388000000,0.0262502542175516,0.025892466806488,-3.57787411063525,0.02605,0.0256723155995595,-3.77684400440486,2.5148802680829974,1.6070392421834412,0.40894490969613667,-0.009580403478155586,-8.72020497266701
2022-11-07,210013.IB,518000000,0.0260818791387084,0.0257492608193405,-3.32618319367973,0.0259,0.025502883235393,-3.9711676460704,-1.6837507884319771,1.62109177617753,0.47041923957219284,0.006455634501937091,-10.403955761098988
2022-11-08,210013.IB,439000000,0.0261827972805139,0.0257927300430319,-3.90067237481959,0.026,0.0255270036567864,-4.72996343213596,1.0091814180549983,1.626353139549186,0.43278560715118186,-0.0038543682221687803,-9.39477434304399
2022-11-09,210013.IB,680000000,0.0261030309891663,0.0258551762972216,-2.47854691944736,0.025925,0.0256313833226297,-2.9361667737025,-0.7976629134760077,1.629263663554442,0.4803264917688491,0.0030558248726251236,-10.192437256519998
2022-11-10,210013.IB,1351390000,0.0261071151739826,0.0257887695194109,-3.18345654571655,0.025925,0.0255299423560617,-3.9505764393832,0.040841848162991023,1.6288088486416128,0.49181260038764163,-0.00015643952957200558,-10.151595408357007
2022-11-11,210013.IB,1321100000,0.0263258854028069,0.0261727426793865,-1.53142723420353,0.02615,0.0259220078558626,-2.27992144137372,2.1877022882429986,1.5563609276603392,0.34082427621358335,-0.008310080571913958,-7.963893120114008
2022-11-14,210013.IB,3490000000,0.0271522057421355,0.0268684412530726,-2.83764489062858,0.027,0.0266756722374451,-3.24327762554952,8.263203393286018,1.9291303991854738,1.490298328436072,-0.03043289916024383,0.2993102731720114
2022-11-16,210013.IB,4833080000,0.0273472580312015,0.0272578674405766,-0.893905906249014,0.0272,0.0270271181822512,-1.72881817748795,1.9505228906599794,1.9393324698636214,1.3982026153736518,-0.007132425811884113,2.249833163831991
2022-11-17,210013.IB,241270000,0.0271165606067891,0.0269864323397076,-1.30128267081545,0.02699,0.0267515417751019,-2.38458224898139,-2.306974244123995,1.9619146576917055,1.3474356111787211,0.008507621145531274,-0.057141080292004265
2022-11-18,210013.IB,648000000,0.0275044882825863,0.0269933908081281,-5.11097474458211,0.027325,0.0267527613161842,-5.72238683815795,3.879276757971992,2.0264990731570878,1.2425568059415828,-0.014104158994399651,3.8221356776799875
2022-11-21,210013.IB,783800000,0.0273800261478705,0.0268357112389346,-5.44314908935889,0.0272,0.0266212117659238,-5.78788234076196,-1.244621347157998,2.0309366863270677,1.2396886411615402,0.004545727386950693,2.577514330521989
2022-11-22,210013.IB,55000000,0.0275899229483586,0.0269828060603974,-6.07116887961251,0.0274,0.0267337869138252,-6.66213086174781,2.098968004881005,2.0252820645392373,1.1682887248693357,-0.007607734203570415,4.676482335402994
2022-11-23,210013.IB,650000000,0.0271397459578344,0.0267272272901153,-4.12518667719131,0.02695,0.0264990185917645,-4.50981408235539,-4.501769905242009,2.136775706570524,0.8782601375416472,0.01658736935944849,0.17471243016098548
2022-11-25,210013.IB,497500000,0.0270847779441844,0.0266700191998514,-4.1475874433301,0.026743,0.0264975313079671,-2.45468692032884,-0.5496801364999679,2.138681982602274,0.8836169797992326,0.002029479944907653,-0.3749677063389818
2022-11-25,210013.IB,966000000,0.0270847779441844,0.0266700191998514,-4.1475874433301,0.0269,0.0264975313079671,-4.02468692032885,0.0,2.137190427654248,0.9109422078383586,0.0,-0.3749677063389818
2022-11-28,210013.IB,341000000,0.0274761816838123,0.0269661620425439,-5.10019641268421,0.0273,0.026712146891771,-5.87853108229019,3.914037396278991,2.197055462496222,0.8236991396848514,-0.014245201321350098,3.539069689940009
2022-11-29,210013.IB,1932400000,0.027971486460608,0.0273743496131466,-5.97136847461425,0.0278,0.0271562767058675,-6.43723294132488,4.953047767956992,2.2900151172294985,0.774529524253706,-0.017707488570306462,8.492117457897
2022-11-30,210013.IB,2835720000,0.0278909401794477,0.0273007251411995,-5.90215038248191,0.027725,0.0270676328753671,-6.57367124632893,-0.8054628116030069,2.2828447498552102,0.8500000262980641,0.0028879012554641204,7.686654646293993
2022-12-01,210013.IB,1514000000,0.027760279251449,0.0272874205759377,-4.72858675511216,0.027598,0.0270809724030074,-5.17027596992559,-1.306609279986999,2.254636053540367,0.8867448677362783,0.004706758416051615,-9.52738973642401
2022-12-02,210013.IB,540600000,0.0276564916137995,0.0273880554894258,-2.68436124373734,0.0275,0.0271650127972593,-3.3498720274067,-1.0378763764950019,2.2321666071683604,0.9875998719490882,0.0037527405536035285,-10.56526611291901
2022-12-05,210013.IB,162610000,0.0278267897858872,0.0274212518155168,-4.05537970370462,0.027666,0.0272162776554958,-4.49722344504178,1.7029817208770102,2.219498432214773,1.012222851767198,-0.00611993598248517,-8.862284392042
2022-12-06,210013.IB,28000000,0.0279568127113698,0.0274814010618551,-4.75411649514715,0.0278,0.0272428302305929,-5.57169769407069,1.3002292548260075,2.223560273855046,0.9737830987716162,-0.004650849394921219,-7.562055137215992
2022-12-07,210013.IB,287700000,0.0280937107543261,0.0275407845115534,-5.52926242772658,0.02793,0.0273380772702472,-5.91922729752826,1.3689804295629813,2.1870310787741474,0.9637167763822366,-0.004872907112678848,-6.193074707653011
2022-12-08,210013.IB,855000000,0.0279641948192586,0.0273033560911525,-6.60838728106104,0.027803,0.027100533461467,-7.02466538532988,-1.295159350674993,2.197458139786863,0.9675959214742291,0.004631491659409459,-7.488234058328004
2022-12-09,210013.IB,30000000,0.0277314317284384,0.0272312199089512,-5.00211819487208,0.0276,0.0270510053504457,-5.4899464955431,-2.32763090820199,2.2284084557717514,0.9479836234890788,0.008393475428875918,-9.815864966529993
2022-12-12,210013.IB,495700000,0.0280565339732498,0.0274692031572472,-5.87330816002579,0.0279,0.0272850340685471,-6.14965931452903,3.2510224481139756,2.262542195487844,0.89146877064093,-0.011587398683007732,-6.564842518416018
2022-12-13,210013.IB,365000000,0.0280017868886945,0.0277992457023471,-2.02541186347372,0.027907,0.0275825090484153,-3.2449095158471,-0.5474708455529762,2.2014570676640193,0.995955436963857,0.0019551282485261723,-7.112313363968995
2022-12-14,210013.IB,86960000,0.0280287554601608,0.0274259205246311,-6.02834935529713,0.0279,0.0272127238680043,-6.87276131995686,0.26968571466300106,2.2007586512734867,0.9867817868753296,-0.0009621751313444449,-6.842627649305994
2022-12-15,210013.IB,66000000,0.0277223276506178,0.0275555317054942,-1.6679594512357,0.0276,0.0273768193478771,-2.23180652122901,-3.0642780954300006,2.2361015661083417,1.0018521372854936,0.011053466123223332,-9.906905744735994
2022-12-16,210013.IB,106280000,0.027822444971505,0.0273697225060261,-4.52722465478905,0.02771,0.0271520180145347,-5.57981985465299,1.0011732088719902,2.2245537569110234,1.0352508230974773,-0.00359843719664954,-8.905732535864004
2022-12-19,210013.IB,901940000,0.0276845116669193,0.027210035756422,-4.74475910497336,0.02755,0.0269865426300863,-5.63457369913738,-1.3793330458570021,2.235252306427648,1.0551063930014923,0.004982327528302299,-10.285065581721007
2022-12-20,210013.IB,70300000,0.0270934375945715,0.0270312316333685,-0.622059612030261,0.027,0.0268452221621623,-1.54777837837711,-5.910740723477984,2.376112578108243,0.6542251236471742,0.02181613426810869,-16.195806305198992
2022-12-21,210013.IB,210000000,0.0276862243407597,0.0270548156867213,-6.31408654038403,0.02755,0.0268781312902823,-6.71868709717718,5.927867461881994,2.5066650746411767,0.6483024780002064,-0.021410891528300557,-10.267938843316998
2022-12-22,210013.IB,642280000,0.0275392252408506,0.0268703016306119,-6.68923610238705,0.0274,0.0266681656286534,-7.31834371346614,-1.4699909990910018,2.517675762977397,0.6730219472704793,0.005337808112736875,-11.737929842407999
2022-12-23,210013.IB,132000000,0.0272440314191635,0.0272151739480075,-0.288574711559131,0.0271,0.0270170780702981,-0.829219297019262,-2.9519382168709947,2.547315708442369,0.6553961801421464,0.010835174029327321,-14.689868059278995
2022-12-27,210013.IB,150000000,0.027341554340576,0.0271815815088016,-1.59972831774404,0.02722,0.0270000685858329,-2.19931414167134,0.9752292141249758,2.5308309203872335,0.6086924670131488,-0.003566838965982644,-13.714638845154019
2022-12-28,210013.IB,1036000000,0.0273099845440269,0.0272386049738644,-0.713795701625039,0.0272,0.0270319989726936,-1.68001027306405,-0.3156979654909964,2.5313994631156587,0.612180052924913,0.0011559800225520167,-14.030336810645014
2022-12-29,210013.IB,182900000,0.0272949786041196,0.0272527292646418,-0.422493394777144,0.02715,0.027043967548546,-1.06032451454047,-0.15005939907299787,2.5307070815495396,0.6080891129648163,0.0005497692496829742,-14.180396209718012
2022-12-30,210013.IB,121240000,0.0270976932933461,0.0270921885483921,-0.0550474495398384,0.02695,0.0268707736378126,-0.792263621874172,-1.9728531077349911,2.5489209368128116,0.6300125706397123,0.007280520472269902,-16.153249317453003
2023-01-03,210013.IB,22090000,0.0272442968124315,0.0270413958423688,-2.02900970062762,0.0271,0.0268270323631773,-2.72967636822705,1.4660351908540177,2.5552325852824023,0.6022296343343385,-0.005381071865965925,-12.543781101000995
2023-01-04,210013.IB,501130000,0.0271545298837706,0.026764392777433,-3.9013710633759,0.027,0.0265458424473646,-4.54157552635424,-0.8976692866090319,2.559136451861335,0.6330886081942365,0.0033057809892174106,-13.441450387610027
2023-01-05,210013.IB,1344500000,0.0271752546388792,0.0269458173267763,-2.29437312102909,0.027038,0.0267128938936937,-3.2510610630631,0.2072475510860039,2.5578862693872777,0.6194993456566089,-0.0007626333362465987,-13.234202836524023
2023-01-06,210013.IB,1513990000,0.0272640059110843,0.0270586571155812,-2.05348795503085,0.027125,0.0268507740111706,-2.74225988829358,0.8875127220510024,2.5598198452286436,0.5994125297142522,-0.003255254290016829,-12.34669011447302
